"n_arco" "V1" "V2"
1 206 207
2 205 207
3 205 206
4 204 205
5 199 205
6 198 199
7 199 202
8 196 199
9 198 206
10 197 198
11 196 197
12 191 197
13 191 192
14 189 191
15 189 190
16 190 192
17 192 196
18 199 200
19 207 208
20 204 208
21 203 204
22 174 208
23 200 201
24 195 196
25 195 200
26 188 189
27 187 188
28 187 190
29 192 193
30 185 193
31 193 194
32 194 195
33 186 194
34 185 186
35 185 190
36 183 186
37 182 183
38 182 185
39 181 182
40 181 187
41 180 181
42 179 180
43 177 181
44 178 180
45 179 188
46 158 179
47 158 178
48 177 178
49 176 177
50 176 182
51 175 176
52 183 184
53 175 183
54 175 184
55 170 177
56 168 173
57 159 173
58 159 176
59 173 175
60 169 173
